"","PopSizes","Site","Lambda","Year","Type"
"1",0.015,"Crystal Cove",0.166768709951379,1,"LOECMortRep"
"2",0.0186417554812418,"Crystal Cove",0.166768709951379,2,"LOECMortRep"
"3",0.00115756325067043,"Crystal Cove",0.166768709951379,3,"LOECMortRep"
"4",0.000101184837400122,"Crystal Cove",0.166768709951379,4,"LOECMortRep"
"5",6.8531267478736e-05,"Crystal Cove",0.166768709951379,5,"LOECMortRep"
"6",6.91866893803742e-06,"Crystal Cove",0.166768709951379,6,"LOECMortRep"
"7",6.44486827598215e-07,"Crystal Cove",0.166768709951379,7,"LOECMortRep"
"8",2.6359521547672e-07,"Crystal Cove",0.166768709951379,8,"LOECMortRep"
"9",3.51054741133542e-08,"Crystal Cove",0.166768709951379,9,"LOECMortRep"
"10",3.72155466317074e-09,"Crystal Cove",0.166768709951379,10,"LOECMortRep"
"11",1.06704379569054e-09,"Crystal Cove",0.166768709951379,11,"LOECMortRep"
"12",1.6655533315369e-10,"Crystal Cove",0.166768709951379,12,"LOECMortRep"
"13",1.99428874587224e-11,"Crystal Cove",0.166768709951379,13,"LOECMortRep"
"14",4.52812932158647e-12,"Crystal Cove",0.166768709951379,14,"LOECMortRep"
"15",7.6734668817463e-13,"Crystal Cove",0.166768709951379,15,"LOECMortRep"
"16",1.01513233951094e-13,"Crystal Cove",0.166768709951379,16,"LOECMortRep"
"17",1.99379890039902e-14,"Crystal Cove",0.166768709951379,17,"LOECMortRep"
"18",3.49576290929006e-15,"Crystal Cove",0.166768709951379,18,"LOECMortRep"
"19",4.99173244938148e-16,"Crystal Cove",0.166768709951379,19,"LOECMortRep"
"20",9.00229118649633e-17,"Crystal Cove",0.166768709951379,20,"LOECMortRep"
"21",1.58909206013742e-17,"Crystal Cove",0.166768709951379,21,"LOECMortRep"
"22",2.39902501542766e-18,"Crystal Cove",0.166768709951379,22,"LOECMortRep"
"23",4.12678072015394e-19,"Crystal Cove",0.166768709951379,23,"LOECMortRep"
"24",7.23842248647446e-20,"Crystal Cove",0.166768709951379,24,"LOECMortRep"
"25",1.13591070239588e-20,"Crystal Cove",0.166768709951379,25,"LOECMortRep"
"26",1.90724789299687e-21,"Crystal Cove",0.166768709951379,26,"LOECMortRep"
"27",3.30890389728689e-22,"Crystal Cove",0.166768709951379,27,"LOECMortRep"
"28",5.32774793437557e-23,"Crystal Cove",0.166768709951379,28,"LOECMortRep"
"29",8.84796936985471e-24,"Crystal Cove",0.166768709951379,29,"LOECMortRep"
"30",1.51813535828986e-24,"Crystal Cove",0.166768709951379,30,"LOECMortRep"
"31",2.48439084689862e-25,"Crystal Cove",0.166768709951379,31,"LOECMortRep"
"32",4.11015494667407e-26,"Crystal Cove",0.166768709951379,32,"LOECMortRep"
"33",6.98693448447108e-27,"Crystal Cove",0.166768709951379,33,"LOECMortRep"
"34",1.15455110783766e-27,"Crystal Cove",0.166768709951379,34,"LOECMortRep"
"35",1.90949703152029e-28,"Crystal Cove",0.166768709951379,35,"LOECMortRep"
"36",3.22325369404724e-29,"Crystal Cove",0.166768709951379,36,"LOECMortRep"
"37",5.35530116578472e-30,"Crystal Cove",0.166768709951379,37,"LOECMortRep"
"38",8.86750369445121e-31,"Crystal Cove",0.166768709951379,38,"LOECMortRep"
"39",1.48947317895294e-31,"Crystal Cove",0.166768709951379,39,"LOECMortRep"
"40",2.48161743933339e-32,"Crystal Cove",0.166768709951379,40,"LOECMortRep"
"41",4.1156960017273e-33,"Crystal Cove",0.166768709951379,41,"LOECMortRep"
"42",6.89059260713624e-34,"Crystal Cove",0.166768709951379,42,"LOECMortRep"
"43",1.14947408441535e-34,"Crystal Cove",0.166768709951379,43,"LOECMortRep"
"44",1.90923323247419e-35,"Crystal Cove",0.166768709951379,44,"LOECMortRep"
"45",3.18996068850393e-36,"Crystal Cove",0.166768709951379,45,"LOECMortRep"
"46",5.32357191792199e-37,"Crystal Cove",0.166768709951379,46,"LOECMortRep"
"47",8.85302022471535e-38,"Crystal Cove",0.166768709951379,47,"LOECMortRep"
"48",1.4773874114378e-38,"Crystal Cove",0.166768709951379,48,"LOECMortRep"
"49",2.46551914800423e-39,"Crystal Cove",0.166768709951379,49,"LOECMortRep"
"50",4.10382045028419e-40,"Crystal Cove",0.166768709951379,50,"LOECMortRep"
"51",6.84388842365983e-41,"Crystal Cove",0.166768709951379,51,"LOECMortRep"
"52",0.00156739812,"Dana Point",0.432529620892653,1,"LOECMortRep"
"53",0.0025299695445273,"Dana Point",0.432529620892653,2,"LOECMortRep"
"54",0.00108532998095874,"Dana Point",0.432529620892653,3,"LOECMortRep"
"55",0.000454855587854902,"Dana Point",0.432529620892653,4,"LOECMortRep"
"56",0.000197078269741277,"Dana Point",0.432529620892653,5,"LOECMortRep"
"57",8.53520415595647e-05,"Dana Point",0.432529620892653,6,"LOECMortRep"
"58",3.69125586182397e-05,"Dana Point",0.432529620892653,7,"LOECMortRep"
"59",1.59649873209304e-05,"Dana Point",0.432529620892653,8,"LOECMortRep"
"60",6.90538205664214e-06,"Dana Point",0.432529620892653,9,"LOECMortRep"
"61",2.9867875949187e-06,"Dana Point",0.432529620892653,10,"LOECMortRep"
"62",1.29187359314323e-06,"Dana Point",0.432529620892653,11,"LOECMortRep"
"63",5.58773562631516e-07,"Dana Point",0.432529620892653,12,"LOECMortRep"
"64",2.41686121899153e-07,"Dana Point",0.432529620892653,13,"LOECMortRep"
"65",1.04536406855313e-07,"Dana Point",0.432529620892653,14,"LOECMortRep"
"66",4.52150923860439e-08,"Dana Point",0.432529620892653,15,"LOECMortRep"
"67",1.95568667677131e-08,"Dana Point",0.432529620892653,16,"LOECMortRep"
"68",8.458924169222e-09,"Dana Point",0.432529620892653,17,"LOECMortRep"
"69",3.65873526407229e-09,"Dana Point",0.432529620892653,18,"LOECMortRep"
"70",1.58251137671312e-09,"Dana Point",0.432529620892653,19,"LOECMortRep"
"71",6.84483045828091e-10,"Dana Point",0.432529620892653,20,"LOECMortRep"
"72",2.96059192319492e-10,"Dana Point",0.432529620892653,21,"LOECMortRep"
"73",1.28054370215734e-10,"Dana Point",0.432529620892653,22,"LOECMortRep"
"74",5.53873082030587e-11,"Dana Point",0.432529620892653,23,"LOECMortRep"
"75",2.39566514193335e-11,"Dana Point",0.432529620892653,24,"LOECMortRep"
"76",1.03619613562617e-11,"Dana Point",0.432529620892653,25,"LOECMortRep"
"77",4.48185521712821e-12,"Dana Point",0.432529620892653,26,"LOECMortRep"
"78",1.93853513796022e-12,"Dana Point",0.432529620892653,27,"LOECMortRep"
"79",8.3847386830902e-13,"Dana Point",0.432529620892653,28,"LOECMortRep"
"80",3.62664784388096e-13,"Dana Point",0.432529620892653,29,"LOECMortRep"
"81",1.56863261702499e-13,"Dana Point",0.432529620892653,30,"LOECMortRep"
"82",6.78480071161668e-14,"Dana Point",0.432529620892653,31,"LOECMortRep"
"83",2.93462727962776e-14,"Dana Point",0.432529620892653,32,"LOECMortRep"
"84",1.26931322471863e-14,"Dana Point",0.432529620892653,33,"LOECMortRep"
"85",5.4901556788158e-15,"Dana Point",0.432529620892653,34,"LOECMortRep"
"86",2.37465495439984e-15,"Dana Point",0.432529620892653,35,"LOECMortRep"
"87",1.02710860717742e-15,"Dana Point",0.432529620892653,36,"LOECMortRep"
"88",4.44254896478031e-16,"Dana Point",0.432529620892653,37,"LOECMortRep"
"89",1.92153401953347e-16,"Dana Point",0.432529620892653,38,"LOECMortRep"
"90",8.31120381001147e-17,"Dana Point",0.432529620892653,39,"LOECMortRep"
"91",3.59484183310583e-17,"Dana Point",0.432529620892653,40,"LOECMortRep"
"92",1.55487557524231e-17,"Dana Point",0.432529620892653,41,"LOECMortRep"
"93",6.72529743094803e-18,"Dana Point",0.432529620892653,42,"LOECMortRep"
"94",2.90889034819828e-18,"Dana Point",0.432529620892653,43,"LOECMortRep"
"95",1.2581812395245e-18,"Dana Point",0.432529620892653,44,"LOECMortRep"
"96",5.44200654545779e-19,"Dana Point",0.432529620892653,45,"LOECMortRep"
"97",2.35382902800219e-19,"Dana Point",0.432529620892653,46,"LOECMortRep"
"98",1.01810077712791e-19,"Dana Point",0.432529620892653,47,"LOECMortRep"
"99",4.40358743161649e-20,"Dana Point",0.432529620892653,48,"LOECMortRep"
"100",1.90468200236473e-20,"Dana Point",0.432529620892653,49,"LOECMortRep"
"101",8.23831384403875e-21,"Dana Point",0.432529620892653,50,"LOECMortRep"
"102",3.56331476375677e-21,"Dana Point",0.432529620892653,51,"LOECMortRep"
"103",0.113963039,"Old Stairs",0.428736252385998,1,"LOECMortRep"
"104",0.18348049279,"Old Stairs",0.428736252385998,2,"LOECMortRep"
"105",0.0779621149799,"Old Stairs",0.428736252385998,3,"LOECMortRep"
"106",0.032356955848075,"Old Stairs",0.428736252385998,4,"LOECMortRep"
"107",0.0138982587148795,"Old Stairs",0.428736252385998,5,"LOECMortRep"
"108",0.00596678759709137,"Old Stairs",0.428736252385998,6,"LOECMortRep"
"109",0.00255782027074823,"Old Stairs",0.428736252385998,7,"LOECMortRep"
"110",0.00109657191402082,"Old Stairs",0.428736252385998,8,"LOECMortRep"
"111",0.000470144101232919,"Old Stairs",0.428736252385998,9,"LOECMortRep"
"112",0.000201568214517954,"Old Stairs",0.428736252385998,10,"LOECMortRep"
"113",8.64195616242487e-05,"Old Stairs",0.428736252385998,11,"LOECMortRep"
"114",3.70511965505882e-05,"Old Stairs",0.428736252385998,12,"LOECMortRep"
"115",1.5885191516541e-05,"Old Stairs",0.428736252385998,13,"LOECMortRep"
"116",6.81055749201571e-06,"Old Stairs",0.428736252385998,14,"LOECMortRep"
"117",2.91993289264667e-06,"Old Stairs",0.428736252385998,15,"LOECMortRep"
"118",1.2518810855681e-06,"Old Stairs",0.428736252385998,16,"LOECMortRep"
"119",5.36726805085423e-07,"Old Stairs",0.428736252385998,17,"LOECMortRep"
"120",2.30114238967299e-07,"Old Stairs",0.428736252385998,18,"LOECMortRep"
"121",9.8658316435289e-08,"Old Stairs",0.428736252385998,19,"LOECMortRep"
"122",4.22983968551827e-08,"Old Stairs",0.428736252385998,20,"LOECMortRep"
"123",1.81348561496283e-08,"Old Stairs",0.428736252385998,21,"LOECMortRep"
"124",7.77507026315073e-09,"Old Stairs",0.428736252385998,22,"LOECMortRep"
"125",3.33345448666105e-09,"Old Stairs",0.428736252385998,23,"LOECMortRep"
"126",1.42917278411035e-09,"Old Stairs",0.428736252385998,24,"LOECMortRep"
"127",6.12738183471534e-10,"Old Stairs",0.428736252385998,25,"LOECMortRep"
"128",2.6270307247539e-10,"Old Stairs",0.428736252385998,26,"LOECMortRep"
"129",1.12630330783386e-10,"Old Stairs",0.428736252385998,27,"LOECMortRep"
"130",4.82887059250641e-11,"Old Stairs",0.428736252385998,28,"LOECMortRep"
"131",2.07031188108815e-11,"Old Stairs",0.428736252385998,29,"LOECMortRep"
"132",8.87617757167941e-12,"Old Stairs",0.428736252385998,30,"LOECMortRep"
"133",3.80553910759448e-12,"Old Stairs",0.428736252385998,31,"LOECMortRep"
"134",1.63157257529841e-12,"Old Stairs",0.428736252385998,32,"LOECMortRep"
"135",6.99514311429213e-13,"Old Stairs",0.428736252385998,33,"LOECMortRep"
"136",2.99907144372533e-13,"Old Stairs",0.428736252385998,34,"LOECMortRep"
"137",1.28581065142066e-13,"Old Stairs",0.428736252385998,35,"LOECMortRep"
"138",5.51273639968093e-14,"Old Stairs",0.428736252385998,36,"LOECMortRep"
"139",2.36350994439108e-14,"Old Stairs",0.428736252385998,37,"LOECMortRep"
"140",1.01332239603527e-14,"Old Stairs",0.428736252385998,38,"LOECMortRep"
"141",4.34448046534962e-15,"Old Stairs",0.428736252385998,39,"LOECMortRep"
"142",1.86263627327817e-15,"Old Stairs",0.428736252385998,40,"LOECMortRep"
"143",7.98579695363506e-16,"Old Stairs",0.428736252385998,41,"LOECMortRep"
"144",3.42380065821702e-16,"Old Stairs",0.428736252385998,42,"LOECMortRep"
"145",1.46790746312068e-16,"Old Stairs",0.428736252385998,43,"LOECMortRep"
"146",6.29345144587797e-17,"Old Stairs",0.428736252385998,44,"LOECMortRep"
"147",2.69823078747896e-17,"Old Stairs",0.428736252385998,45,"LOECMortRep"
"148",1.15682935589625e-17,"Old Stairs",0.428736252385998,46,"LOECMortRep"
"149",4.95974682697066e-18,"Old Stairs",0.428736252385998,47,"LOECMortRep"
"150",2.12642326737875e-18,"Old Stairs",0.428736252385998,48,"LOECMortRep"
"151",9.11674742642353e-19,"Old Stairs",0.428736252385998,49,"LOECMortRep"
"152",3.90868012555452e-19,"Old Stairs",0.428736252385998,50,"LOECMortRep"
"153",1.67579286880588e-19,"Old Stairs",0.428736252385998,51,"LOECMortRep"
"154",0.2270450751,"Paradise Cove",0.428736252385998,1,"LOECMortRep"
"155",0.365542570911,"Paradise Cove",0.428736252385998,2,"LOECMortRep"
"156",0.15532153587591,"Paradise Cove",0.428736252385998,3,"LOECMortRep"
"157",0.0644637729477675,"Paradise Cove",0.428736252385998,4,"LOECMortRep"
"158",0.0276890755228021,"Paradise Cove",0.428736252385998,5,"LOECMortRep"
"159",0.0118874483339055,"Paradise Cove",0.428736252385998,6,"LOECMortRep"
"160",0.00509586705093337,"Paradise Cove",0.428736252385998,7,"LOECMortRep"
"161",0.00218466666698321,"Paradise Cove",0.428736252385998,8,"LOECMortRep"
"162",0.000936653705525088,"Paradise Cove",0.428736252385998,9,"LOECMortRep"
"163",0.0004015781853887,"Paradise Cove",0.428736252385998,10,"LOECMortRep"
"164",0.000172171048010457,"Paradise Cove",0.428736252385998,11,"LOECMortRep"
"165",7.38159650461159e-05,"Paradise Cove",0.428736252385998,12,"LOECMortRep"
"166",3.16475809393862e-05,"Paradise Cove",0.428736252385998,13,"LOECMortRep"
"167",1.35684652744964e-05,"Paradise Cove",0.428736252385998,14,"LOECMortRep"
"168",5.81729294616233e-06,"Paradise Cove",0.428736252385998,15,"LOECMortRep"
"169",2.4940843766818e-06,"Paradise Cove",0.428736252385998,16,"LOECMortRep"
"170",1.0693043888449e-06,"Paradise Cove",0.428736252385998,17,"LOECMortRep"
"171",4.58449556332994e-07,"Paradise Cove",0.428736252385998,18,"LOECMortRep"
"172",1.9655394468982e-07,"Paradise Cove",0.428736252385998,19,"LOECMortRep"
"173",8.42698016380079e-08,"Paradise Cove",0.428736252385998,20,"LOECMortRep"
"174",3.6129518943594e-08,"Paradise Cove",0.428736252385998,21,"LOECMortRep"
"175",1.54900345523853e-08,"Paradise Cove",0.428736252385998,22,"LOECMortRep"
"176",6.64113936331927e-09,"Paradise Cove",0.428736252385998,23,"LOECMortRep"
"177",2.84729720220264e-09,"Paradise Cove",0.428736252385998,24,"LOECMortRep"
"178",1.2207395319015e-09,"Paradise Cove",0.428736252385998,25,"LOECMortRep"
"179",5.23375292046885e-10,"Paradise Cove",0.428736252385998,26,"LOECMortRep"
"180",2.24389961303609e-10,"Paradise Cove",0.428736252385998,27,"LOECMortRep"
"181",9.62041110823484e-11,"Paradise Cove",0.428736252385998,28,"LOECMortRep"
"182",4.12461900495723e-11,"Paradise Cove",0.428736252385998,29,"LOECMortRep"
"183",1.76837369470543e-11,"Paradise Cove",0.428736252385998,30,"LOECMortRep"
"184",7.58165910685986e-12,"Paradise Cove",0.428736252385998,31,"LOECMortRep"
"185",3.25053211234327e-12,"Paradise Cove",0.428736252385998,32,"LOECMortRep"
"186",1.39362095610639e-12,"Paradise Cove",0.428736252385998,33,"LOECMortRep"
"187",5.97495825967647e-13,"Paradise Cove",0.428736252385998,34,"LOECMortRep"
"188",2.56168121241646e-13,"Paradise Cove",0.428736252385998,35,"LOECMortRep"
"189",1.09828560281905e-13,"Paradise Cove",0.428736252385998,36,"LOECMortRep"
"190",4.70874853402137e-14,"Paradise Cove",0.428736252385998,37,"LOECMortRep"
"191",2.01881119990438e-14,"Paradise Cove",0.428736252385998,38,"LOECMortRep"
"192",8.65537548121885e-15,"Paradise Cove",0.428736252385998,39,"LOECMortRep"
"193",3.71087324681142e-15,"Paradise Cove",0.428736252385998,40,"LOECMortRep"
"194",1.59098588891739e-15,"Paradise Cove",0.428736252385998,41,"LOECMortRep"
"195",6.82113327613448e-16,"Paradise Cove",0.428736252385998,42,"LOECMortRep"
"196",2.92446711783532e-16,"Paradise Cove",0.428736252385998,43,"LOECMortRep"
"197",1.2538250723268e-16,"Paradise Cove",0.428736252385998,44,"LOECMortRep"
"198",5.37560262656994e-17,"Paradise Cove",0.428736252385998,45,"LOECMortRep"
"199",2.30471572443192e-17,"Paradise Cove",0.428736252385998,46,"LOECMortRep"
"200",9.88115182508023e-18,"Paradise Cove",0.428736252385998,47,"LOECMortRep"
"201",4.23640800274196e-18,"Paradise Cove",0.428736252385998,48,"LOECMortRep"
"202",1.81630169067364e-18,"Paradise Cove",0.428736252385998,49,"LOECMortRep"
"203",7.78714380061769e-19,"Paradise Cove",0.428736252385998,50,"LOECMortRep"
"204",3.33863084986769e-19,"Paradise Cove",0.428736252385998,51,"LOECMortRep"
"205",0.001001001,"Point Fermin",0.436369077521416,1,"LOECMortRep"
"206",0.00161990245024293,"Point Fermin",0.436369077521416,2,"LOECMortRep"
"207",0.000701600950684693,"Point Fermin",0.436369077521416,3,"LOECMortRep"
"208",0.000296914881765555,"Point Fermin",0.436369077521416,4,"LOECMortRep"
"209",0.00012977325774159,"Point Fermin",0.436369077521416,5,"LOECMortRep"
"210",5.66982027676775e-05,"Point Fermin",0.436369077521416,6,"LOECMortRep"
"211",2.47384436534849e-05,"Point Fermin",0.436369077521416,7,"LOECMortRep"
"212",1.07945983795014e-05,"Point Fermin",0.436369077521416,8,"LOECMortRep"
"213",4.71046074037726e-06,"Point Fermin",0.436369077521416,9,"LOECMortRep"
"214",2.0555027273279e-06,"Point Fermin",0.436369077521416,10,"LOECMortRep"
"215",8.9695751792692e-07,"Point Fermin",0.436369077521416,11,"LOECMortRep"
"216",3.91404504101669e-07,"Point Fermin",0.436369077521416,12,"LOECMortRep"
"217",1.707968252195e-07,"Point Fermin",0.436369077521416,13,"LOECMortRep"
"218",7.4530453175853e-08,"Point Fermin",0.436369077521416,14,"LOECMortRep"
"219",3.2522785075277e-08,"Point Fermin",0.436369077521416,15,"LOECMortRep"
"220",1.41919377212879e-08,"Point Fermin",0.436369077521416,16,"LOECMortRep"
"221",6.19292277187968e-09,"Point Fermin",0.436369077521416,17,"LOECMortRep"
"222",2.70239999712635e-09,"Point Fermin",0.436369077521416,18,"LOECMortRep"
"223",1.17924379383833e-09,"Point Fermin",0.436369077521416,19,"LOECMortRep"
"224",5.14585526490115e-10,"Point Fermin",0.436369077521416,20,"LOECMortRep"
"225",2.24549211500376e-10,"Point Fermin",0.436369077521416,21,"LOECMortRep"
"226",9.79863322805798e-11,"Point Fermin",0.436369077521416,22,"LOECMortRep"
